QID,Brand,Model,Question,Dialogue,Report,,,,,,,
Q7252,奥迪,奥迪A6L,奥迪70000公里保养项目有哪些,技师说：你好，这个公里数需要做一个大保养。包括变速箱油，刹车油转向助力油。火花塞，清洗一下发动机的积炭。|车主说：在60000公里的时候换了变速箱油了 其它没换，可以延迟点换其它的不 先在维修店换机油|车主说：一般机油换什么的好|技师说：可以的。|技师说：建议用嘉实多级护或者美孚一号。|技师说：用0-40型号的。|车主说：嗯嗯，这里只有美浮一号|车主说：0_40这个是美浮的么|技师说：好的可以的。|车主说：嗯嗯|技师说：就是一个型号。5-40的也可以。|车主说：这样|技师说：代表的粘稠度，奥迪烧机油要用粘稠度大的。|技师说：嗯|车主说：好的|车主说：一般保养还需要做什么的|技师说：正常保养就是机油三芯，其他的就是做个大保养了。|技师说：机油滤芯，空气滤芯，空调滤芯。|车主说：三心是什么|技师说：就这三个。|车主说：需要换还是怎么|技师说：其他的不需要了。就是到大保养的时候，其他的更换一下。|技师说：还有一个就是节气门体，一般是两万公里左右就要清洗一次。|车主说：嗯嗯，冷却液少了很多是什么原因呢|技师说：这个时间长不添加有可能是正常损耗。|技师说：如果水壶里面都没有水了，这个要检查一下有没有渗漏的。|车主说：之前出现过管子裂开 漏掉了，换了管子两个月没发现漏 现在来保养发现 冷却液少了很多|车主说：一般冷却液需要多久换一次的|技师说：那就没问题，正常三年更换一次|车主说：嗯嗯，好的|技师说：好的,你好，这个公里数可以做一个大保养，包括变速箱油，刹车油，火花塞，清洗节气门体发动机积炭等。,,,,,,,
Q74647,比亚迪,比亚迪F3,跑起来没力  发动机有点抖动 有时会熄火 怠速也正常 然后换了进去压力传感器后还是出现这种情况 ,技师说：你好，检查一下歧管压力传感器是否正常？然后有没有漏气的现象？然后就是检查从电脑到传感器线路是否正常。|车主说：进去压力传感器是正常的买来都是原厂配件 也没发现漏气|技师说：那就重点检查一下线路。,更换气管压力传感器然后检查一下系统有没有漏气的地方,,,,,,,
Q22868,奔驰,奔驰M级,老师你好 我的车是2014款 奔驰ML320 机油0w30 和0w40 换那个好些 我是辽宁的 ,技师说：你好！建议选择0W——40机油|车主说：有的告诉我30好些 具体有什么区别 30和40|技师说：40比30的机油高温抗氧化性及抗气阻性较好,建议使用0w40机油,,,,,,,
Q12121,宝骏,宝骏560,17宽宝骏560转向灯线在哪，什么颜色的,技师说：转向灯在哪里什么意思，你是转向灯不亮还是加装防盗器|车主说：要换一个转向灯|技师说：直接换转向灯就可以了，线路插头又没有动|车主说：我要换的转向灯和原装的不一样要找一下线|技师说：[语音]|车主说：好谢谢|技师说：客气不用谢,你好，根据描述情况分析，说明了转向灯接线方法，很高兴为你解答！,,,,,,,
Q35316,东风风行,菱智,风行菱智M5长轴2014年车开了3万公里现在跑高速90码之后出现嗡嗡响的响声非常大请问师傅什么情况啊,技师说：你好，你说的这种情况应该是车辆后部传动轴发出的声响，一是传动轴本身动平衡问题导致的，二是传动轴十字轴承有问题导致的，建议你去修理厂具体检查一下这两方面原因|车主说：好的谢了,你说的这种情况应该是车辆后部传动轴发出的声响，一是传动轴本身动平衡问题导致的，二是传动轴十字轴承有问题导致的，建议你去修理厂具体检查一下这两方面原因,,,,,,,
Q82597,奔腾,奔腾B90,换了后刹车片电子手刹c101000EPB电机短接地故障怎么解决,技师说：你好，检查下电机插头及线路有没有短路或线路破损的|技师说：如果线路没有问题，电机供电没有问题，那可能是电机本身故障导致|车主说：电机大概多少钱|车主说：换电机需要匹配不，现在电子手刹开关没电|技师说：看看电机保险，线路|技师说：不一定是电机故障，先排除外部因素|技师说：更换电机需要匹配的|车主说：电机保险在什么位置|技师说：这个好像是在发动机舱保险盒里，检查下看看|车主说：保险看了没事，EPB电机坏没坏怎么检查|技师说：测量电机的电阻值,根据车主提供的信息来分析，此故障代码所表征的是电机或者是线路故障。首先是检查线路是否有问题，包括供电保险，如果确认线路没有问题，则考虑是电机故障，此款车电机如果是两线的，更换电机后不需要匹配，如果是多线（四线以上），则需要匹配的,,,,,,,
Q62609,奥迪,奥迪A4L,冷车的时候如果等红灯，加油提速很快，开个一个多小时后，有时停下不熄火，再加油起步就很迟顿，有时候还报变速箱系统故障但可继续行驶，请问是什么原因,技师说：你好，根据你说的，这种情况多数就和变速箱故障有关系，用电脑检测下变速箱里什么故障码？可能是阀体或者其他问题！,你好，根据你说的，这种情况可能和变速箱故障有关系。建议用电脑检测下，看看什么故障码，根据故障去维修，可能是阀体问题！,,,,,,,
Q60937,起亚,狮跑,我的起亚狮跑 自动挡2.0 平时开总是无力 发闷 加速轰鸣声大提速慢  我今天王原地大油门踩了一会  在开起来就好了  动力又正常了  有时候就好 大部分时间都闷 去修理店说不好查  这个应该怎么办  各种清洗过  保养也都是入冬时候做的 我在想是冷车的事么   我一般开车走时候都是怠速正常水温都上来了在走,技师说：你好，这个需要清洗一下节气门体。|技师说：检查一下火花塞是否有问题？|车主说：火花塞换的新的  节气门这个也洗过  能是没洗好么|车主说：这车我买的二手的  刚买来时候比这严重 我什么清洗换油 都弄了一遍  发动机舱积碳挺严重～13年的车|技师说：一般两万公里清洗一次。|车主说：怠速稳 其他到没什么  就是这个毛病|技师说：如果超过两万就要清洗一次。|车主说：距离上一次清洗 大概三千公里  那我在洗一次试试么  还有其他的么|技师说：那就不要清洗了。|技师说：你可以更换一下汽油滤芯|技师说：用电脑检测一下有没有故障码？|车主说：行  我明天去试试吧谢谢|技师说：好的,这个你更换一下机油滤芯试试。是不是该更换变速箱油了？正常6万公里要更换一次。,,,,,,,
Q3657,大众,桑塔纳,13款桑塔纳电脑版通用吗,技师说：您好，不通用的|车主说：没有一个通用的？|技师说：手动挡  自动挡高低配都不一样|车主说：同一款可以吗|车主说：手动挡低配出租版，通用吗|技师说：只要车配置一样的就通用|车主说：谢谢|技师说：??|车主说：还有一个问题|技师说：什么问题|车主说：一缸不工作，修了，还不行，气路也都检查了，现在怀疑电脑版，|车主说：大师指点一下|车主说：缸盖修了|技师说：油气都不可以？缸压正常吗？缸盖气门密封度可以吗？|车主说：都可以，烧油稍微好点，怠速时间长了不行|车主说：该修的都修了|技师说：那只能倒换下电脑试试了|车主说：和电脑版有关系吗，这是原车电脑版，一缸不给信号|技师说：如果是点火线圈  喷油嘴   线路  缸压  缸盖密封都没问题的，只能倒换下电脑试试|车主说：反正一缸不给信号|技师说：不给信号什么意思？,车型一样，发动机变速箱一样就通用,,,,,,,
Q18403,比亚迪,比亚迪F3,比亚迪f3在转弯的时候，左后轮胎部位有像铁管撞击的声音是怎么回事？请教大师指点,技师说：你好，这种情况建议你去修理厂将车举起来检查一下后桥位置的平行杆是否有问题，这款车的平行杆容易出现这种问题。然后检查一下后部的减震器。|车主说：你好|车主说：嗯嗯，如果维修的话大约多少钱|技师说：这个具体看是哪个零部件损坏？大概200左右,你好，这种情况建议你去修理厂将车举起来检查一下后桥位置的平行杆是否有问题，这款车的平行杆容易出现这种问题。然后检查一下后部的减震器。,,,,,,,
