,QID,Prediction
0,Q1,建议你到当地的4s店进行检查一下，如果已经超出了保修期内，可以到当地的4店进行大型维修。
1,Q2,抛光处理就可以了，希望能够帮到你
2,Q3,你好，这个可以更换气囊油丝，这个价格不贵。
3,Q4,检查发动机没有漏气声音。 水温高，水箱盖出现冒气泡。
4,Q5,建议做一下动平衡就可以了。
5,Q6,你好，车子没有异常，这个可能是排气管关上面的编袋造成的，建议去修理厂清理一下，然后希望能帮到你！
6,Q7,你好，这个情况需要添加绿色的防冻液，然后在添加一些防冻液就可以了。
7,Q8,这个故障原因最好是用电脑诊断，再进行相应的处理，如果机油灯常亮是不能再使用的，否则会对车辆发动机造成严重伤害，严重时会造成发动机抱死的故障办法是拖车入厂，检查润滑系统润滑系统故障原因，并根据故障原因进行相应的处理
8,Q9,这个轮胎只是在胎面出现了一些裂痕，主要是由于行驶路面的裂痕导致的。欢迎关注，我是做丰田的，将来有问题可以单独咨询。
9,Q10,这种情况有可能是由于机油润滑不良导致的，建议再观察使用。
10,Q11,你好！这个是没有问题的，不会有问题，放心使用。
11,Q12,前风挡的起雾，这个有两个可能性比较大，如果说外界的空气没有太大，那么这个调节时候可以调高温，然后调高暖风挡，然后调高暖风，这个就可以。
12,Q13,这个车辆才跑了1700公里，这个机油应该是没有问题的，但是不会有问题。
13,Q14,不会有其他影响
14,Q15,首先就是要确定是车辆的喇叭还是有音响，如果是喇叭的功放，那么就可以进行匹配。
15,Q16,这种情况只需要进行整形处理，如果是在经销店进行整形处理就可以了，如果是在经销店进行整形处理就可以了。
16,Q17,你好！据你的描述，你需要把发动机的声音拆下来看看。
17,Q18,轮胎问题，轮胎碰撞过了，需要索赔。建议更换轮胎。
18,Q19,首先检查刹车系统是否有故障，然后再用电脑编程试试
19,Q20,你好，根据你的描述是方向盘一边按钮不影响安全气囊，可以索赔更换。
20,Q21,分析故障为变速箱油脏了，导致变速箱油脏了。建议更换档位开关
21,Q22,这个是由于机油没有特别错，不影响使用。
22,Q23,建议先用专用电脑给车身模块编程一下
23,Q24,你好，这种情况需要检查机油是否缺少，轮胎轴承是否有磨损间隙过大，轮胎轴承是否存在磨损，轮胎轴承是否有磨损间隙过大，具体需要做下检查。
24,Q25,这款车的钢线通用的，需要找个旧的好换上就可以了
25,Q26,你好，根据你的描述，你的钥匙电子亏电，感应不到钥匙了，把钥匙靠近一键启动试试，如果不行就是钥匙问题了，把钥匙靠近一键启动试试。
26,Q27,你好很高兴为你服务  首先检查车况  尤其是检查有没有撞过   大梁有无变形   车身有无变形    发动机有无漏油  变速箱挂档是否平顺    刹车片刹车盘是否存在        另外听一下发动机运营声音是否平
27,Q28,你好，根据你说的，这种情况就是电瓶亏电导致，更换电瓶就可以了！
28,Q29,这个保险杠需要一个大灯600左右。
29,Q30,根据您图片显示这种情况是车辆的油漆出现异常情况，所以说建议您找维修单位承单位，然后在进行赔偿处理。
30,Q31,可以的，只是一点和推迟一点。一般对发动机不好。
31,Q32,建议先检查一下电池电量，然后检查一下电池的电量，是不是这个流程不足
32,Q33,更换轮胎或者四轮定位数据需要60-80左右， 
33,Q34,根据故障记录，这是发动机故障灯，需要用解码器读取故障记录，根据故障记录排除故障。
34,Q35,你好，根据你的描述，你的车应该是换挡杆周边有个机械回位的，你可以去4s店，让他们帮你回位一下。
35,Q36,建议更换空气滤芯，然后用电脑做下节气门匹配。
36,Q37,起步或者爬坡的时候会感觉动力不足，转速表转速高车的很慢。
37,Q38,要在当地二手车市场让他们估价，大概还能值30000-4000左右。
38,Q39,最好是熟人修理厂，因为贴膜利润滑好，暴利产品，四门后档便宜，
39,Q40,你好，这是虚接，可以把电瓶卡拆下来，用水清理下，如果还是不行的话，就需要用爱招灰难启动，如果在装上就需要用黄油，这样就是虚接了
40,Q41,先清洗节气门，进气道，检查下火花塞，看看是不是有点脏不脏，启动时的瞬间不能够正常，如果是启动的瞬间不稳定，那么就是节气门的问题
41,Q42,这个情况需要更换气门室盖垫，一般都是这样的。
42,Q43,新车没有任何影响的，一般不会有任何影响，加工精度已经过3500转，新车都是没有问题的，下次加工精度已经过3500转，已经过了磨合了就行了
43,Q44,你好，根据你说的，这种情况可能是方向机本身问题，建议你去修理厂检查下！ 这款车是有针对助力报警的！
44,Q45,建议去修理厂喷漆即可，一般保险杠喷漆价格300左右。
45,Q46,你好，在变速箱侧面有个观察孔，打开，有油流出就够了！ 大概需要五升多，大概在五升左右！
46,Q47,一般车开雾灯不亮，一般是小灯不亮导致雾灯不亮，可以开雾灯，开雾灯，小灯控制中控台灯，希望能帮到您
47,Q48,建议您加瓶宝试试，有可能是油品的问题，用燃油宝的时候发动机故障灯亮了，这种情况是由于汽油品质不好引起的，建议您用燃油宝试试
48,Q49,轮胎没有“旋转箭头指示，不会安装反的！ 四季胎压一般没有安装反的！
49,Q50,先检查一下正时，看看正时对不对，
50,Q51,尊敬的车主朋友您好，很荣幸能回答您的问题，根据您描述的故障现象做出如下解答：可以找黄牛代办法或者装复原车大灯，审车过后再换回来。
51,Q52,检查雷达模块里面的线路，一体的是不是断路，或者是雷达模块的问题
52,Q53,你好，车子效果不大的，很少有安装的！不建议装！
53,Q54,你好，根据你说的这种情况，这是因为火花塞点火不好，建议更换一次！还有就是清洗节气门积炭！
54,Q55,保养提示，正常保养就可以了。保养提示就是二保养，保养提示。保养提示就可以了。
55,Q56,这个需要清洗一下节气门。然后做个节气门匹配。
56,Q57,发动机动力下降，检查一下发动机各缸工作是否正常，其次检查火花塞与点火线圈，喷油嘴雾化情况，其次检查一下发动机各缸工作是否正常，其次检查一下缸压是否正常，检查一下发动机各缸工作是否正常
57,Q58,清洗剂或者重新擦拭。
58,Q59,你好，根据你的描述，你的视频是主机视频的问题，需要去店里让他们换一个主机试试，如果不行的话就得更换主机了。
59,Q60,检查倒车灯线路有没有断路。没有电更换摄像头即可。
60,Q61,这是发动机故障灯，需要电脑解码看看才能大概知道具体故障码。
61,Q62,尊敬的车主朋友您好，很荣幸能回答您的问题，根据您描述的故障现象做出如下解答：更换电瓶和原车电流
62,Q63,用柏油清洗剂喷上去而且不伤油漆。
63,Q64,高度是厂家出厂时候设计的。改减震大概1500元。
64,Q65,嗡嗡响主要检查一下助力油是否足够，助力泵是否异常，或者是助力泵异响导致。空调不工作检查一下是否存在，助力泵异响
65,Q66,有的刹车油和离合器油共用刹车油，离合器分泵里面会进气，导致踩离合器不能彻底彻底彻底分离，所以离合器分泵放气需要放气
66,Q67,你好，根据你说的，这种情况可以调整胎压，调整下胎压，就可以了！
67,Q68,如果车辆公里数过多，建议更换一款机油试试。如果还是亏机油，那就需要大修发动机了。
68,Q69,首先把半轴拆下来，在外球笼处分解开，然后更换防尘套即可，安装时注意球笼内的锁止卡簧卡簧安装到位，防尘套固定要牢固。更换半轴需要放出变速箱油，加注变速箱油从箱体上方的通气孔处加注即可。
69,Q70,你好，根据你的描述，这种情况是需要重点检查一下排气管和排气管。第二个问题，可能会有很大的关系，建议你找一个车对一个人的人去试一下。
70,Q71,正常保养时间和里程提示，这个时间和里程可以稍微延长一点，如果时间延长就需要保养了。
71,Q72,节气门是应该清洗了的，或者到下次三万公里保养清洗一下。
72,Q73,六年检之后就需要上线检测了。主要是灯光，刹车和尾气。六年检之后再检查一下
73,Q74,保养提示消除就可以了，不是什么问题。
74,Q75,发动机汽油滤芯和节气门开度
75,Q76,轮胎保险公司不处理
76,Q77,这个可以去做一个轮胎动平衡。主要是两个轮胎的动平衡有问题。
77,Q78,你好，这种情况下，一般是线路故障，或者电磁阀故障，可以去维修店调取一下故障代码。
78,Q79,更换刹车片，刹车片，刹车盘，刹车片，刹车盘，分泵。
79,Q80,两万公里只需要更换机油 机滤  空气滤芯  清洗节气门  检查轮胎胎胎压   轮胎     灯光              检查轮胎胎胎压     轮胎                              
80,Q81,这种情况有可能是离合总泵的问题，建议去修理厂检查一下，如果有空气就需要维修了
81,Q82,建议调整离合器和低离合器分离不到位，检查离合器和不磨损严重。
82,Q83,更换凸轮轴油封不然正时皮带沾油就不能用了
83,Q84,一般都是发电机不发电导致，直接更换电瓶就可以了，不存电了可以正常使用，不用担心。
84,Q85,打方向机有旷量
85,Q86,发动机动力正常，这种情况主要检查一下发动机动力和离合器是否打滑引起。建议你去修理厂检查一下。
86,Q87,详见图片
87,Q88,这种情况需要喷漆，大概需要300左右。
88,Q89,主驾驶门摇窗机开关线路有问题
89,Q90,你好，根据图片显示这是没有问题的，你需要检查一下气门室盖垫，一个螺丝是否松动？
90,Q91,发动机转到一缸上止点，按照1342的顺序调整就可以了
91,Q92,在头盖开关旁边的是有的，扣开盖子就行了
92,Q93,你好，根据你说的这个故障码是正时错位，跳齿了就会轻微的！严重时间就顶气门了！
93,Q94,这种情况不是拉线的问题，可能是节气门的问题，可以先清洗一下节气门体，再试试。
94,Q95,给你报的价格，价格还算公道，可以使用dot4的。
95,Q96,你好检查轮胎是不是吃胎，检查一下底盘是不是有松旷的
96,Q97,检查一下减震器上座和减震器的上座。
97,Q98,检查线路
98,Q99,一般前轮四万公里更换一次后轮六到八万公里更换一次
99,Q100,您好，记录仪不支持32g的内存卡
100,Q101,这个是闪光继电器的问题，需要更换闪光继电器。
101,Q102,这是正常的，一般被叫做怠速不稳，一般是节气门积碳过多，喷油嘴积碳过多，时间长没有清洗，是时候保养啦，顺便检查下别的地方有无漏气，未进行保养维护
102,Q103,你好，根据你说的这种情况对车没有影响，但是今天今后一定要注意，影响安全！
103,Q104,这属于玻璃升降器里面有个小系统，建议换一个玻璃升降器试试
